datetime,close,high_^spx,low_^spx,open_^spx,volume_^spx,rolling_mean,lower_band,upper_band,bandas_anom,if_anom,both_anom,bandas_only,if_only,combined_or,combined_and
2022-10-24,3797.340087890625,3810.739990234375,3741.64990234375,3762.010009765625,4747930000,,,,False,False,False,False,False,False,False
2022-10-25,3859.110107421875,3862.85009765625,3799.43994140625,3799.43994140625,4843120000,,,,False,False,False,False,False,False,False
2022-10-26,3830.60009765625,3886.14990234375,3824.070068359375,3825.969970703125,4817310000,,,,False,False,False,False,False,False,False
2022-10-27,3807.300048828125,3859.949951171875,3803.7900390625,3834.68994140625,4687320000,,,,False,False,False,False,False,False,False
2022-10-28,3901.06005859375,3905.419921875,3808.260009765625,3808.260009765625,4459410000,,,,False,True,False,False,True,True,False
2022-10-31,3871.97998046875,3893.72998046875,3863.179931640625,3881.85009765625,4820620000,,,,False,False,False,False,False,False,False
2022-11-01,3856.10009765625,3911.7900390625,3843.800048828125,3901.7900390625,4481210000,,,,False,False,False,False,False,False,False
2022-11-02,3759.68994140625,3894.43994140625,3758.679931640625,3852.89990234375,4899000000,,,,False,True,False,False,True,True,False
2022-11-03,3719.889892578125,3750.590087890625,3698.14990234375,3733.25,4625290000,,,,False,False,False,False,False,False,False
2022-11-04,3770.550048828125,3796.340087890625,3708.840087890625,3766.97998046875,5400180000,3817.3620361328126,3703.9745248043387,3930.7495474612865,False,False,False,False,False,False,False
2022-11-07,3806.800048828125,3813.949951171875,3764.699951171875,3780.7099609375,4341620000,3816.40185546875,3708.644625471527,3924.159085465973,False,False,False,False,False,False,False
2022-11-08,3828.110107421875,3859.39990234375,3786.280029296875,3817.02001953125,4607640000,3817.3775431315103,3714.412922361248,3920.3421639017724,False,False,False,False,False,False,False
2022-11-09,3748.570068359375,3818.199951171875,3744.219970703125,3810.93994140625,4645010000,3812.084660456731,3706.3728039758516,3917.7965169376102,False,True,False,False,True,True,False
2022-11-10,3956.3701171875,3958.330078125,3859.889892578125,3859.889892578125,5781260000,3822.3907645089284,3694.8624727511656,3949.9190562666913,True,True,True,False,False,True,True
2022-11-11,3992.929931640625,4001.47998046875,3944.820068359375,3963.719970703125,5593310000,3833.760042317708,3682.573343872945,3984.9467407624716,True,False,False,True,False,True,False
2022-11-14,3957.25,4008.969970703125,3956.39990234375,3977.969970703125,4561930000,3841.4781646728516,3682.9031592455162,4000.053170100187,False,False,False,False,False,False,False
2022-11-15,3991.72998046875,4028.840087890625,3953.169921875,4006.409912109375,5015310000,3850.3165067784926,3680.3567670616153,4020.27624649537,False,False,False,False,False,False,False
2022-11-16,3958.7900390625,3983.090087890625,3954.340087890625,3976.820068359375,4165320000,3856.342814127604,3683.7105529071314,4028.9750753480766,False,False,False,False,False,False,False
2022-11-17,3946.56005859375,3954.330078125,3906.5400390625,3919.260009765625,4051780000,3861.0910901521383,3688.2913732799016,4033.890807024375,False,False,False,False,False,False,False
2022-11-18,3965.340087890625,3979.889892578125,3935.97998046875,3966.389892578125,4037360000,3866.3035400390627,3691.7705990776326,4040.8364810004928,False,False,False,False,False,False,False
2022-11-21,3949.93994140625,3962.0,3933.340087890625,3956.22998046875,3850690000,3873.9335327148438,3698.7535923408373,4049.1134730888502,False,False,False,False,False,False,False
2022-11-22,4003.580078125,4005.8798828125,3956.8798828125,3965.510009765625,3887990000,3881.15703125,3696.872943438493,4065.4411190615065,False,False,False,False,False,False,False
2022-11-23,4027.260009765625,4033.780029296875,3998.659912109375,4000.300048828125,3279720000,3890.990026855469,3697.3167862547866,4084.663267456151,False,False,False,False,False,False,False
2022-11-25,4026.1201171875,4034.02001953125,4020.760009765625,4023.340087890625,1706460000,3901.9310302734375,3703.4996515113594,4100.362409035516,False,False,False,False,False,False,False
2022-11-28,3963.93994140625,4012.27001953125,3955.77001953125,4005.360107421875,3615430000,3905.0750244140627,3704.718521175289,4105.431527652836,False,False,False,False,False,False,False
2022-11-29,3957.6298828125,3976.77001953125,3937.64990234375,3964.18994140625,3546040000,3909.35751953125,3708.3192169373156,4110.395822125184,False,False,False,False,False,False,False
2022-11-30,4080.110107421875,4080.110107421875,3938.580078125,3957.179931640625,6579360000,3920.5580200195313,3707.416621519256,4133.699418519807,False,True,False,False,True,True,False
2022-12-01,4076.570068359375,4100.509765625,4050.8701171875,4087.139892578125,4527130000,3936.4020263671873,3726.5251027330196,4146.278950001355,False,False,False,False,False,False,False
2022-12-02,4071.699951171875,4080.47998046875,4026.6298828125,4040.169921875,4012620000,3953.992529296875,3762.3409577766315,4145.644100817119,False,False,False,False,False,False,False
2022-12-05,3998.840087890625,4052.449951171875,3984.489990234375,4052.02001953125,4280820000,3965.40703125,3793.5911041107715,4137.222958389228,False,True,False,False,True,True,False
